TIP5P System - No Bonds/Angles (for rigid/small)

496 atoms

5 atom types

-20.0 20.0 xlo xhi
-20.0 20.0 ylo yhi
-20.0 20.0 zlo zhi

Masses

1 28.0855
2 12.0107
3 15.9994
4 1.008
5 0.0001

Atoms  # full

351 71 5 -0.241 -7.212903 3.642799 -3.178186
352 72 3 0.000 0.738391 -7.491105 0.064465
353 72 4 0.241 -0.197645 -7.592021 -0.120599
354 72 4 0.241 0.794681 -7.490119 1.022289
355 72 5 -0.241 0.869765 -7.473109 -0.623422
356 72 5 -0.241 1.433762 -7.415192 0.026148
357 73 3 0.000 -5.507137 9.074214 3.749132
358 73 4 0.241 -5.071088 8.239137 3.567186
359 73 4 0.241 -5.446199 9.174025 4.701455
360 73 5 -0.241 -5.634061 9.154023 3.064812
361 73 5 -0.241 -5.847259 9.685375 3.709484
362 74 3 0.000 -9.026401 0.977474 -1.242511
363 74 4 0.241 -9.429774 1.096203 -2.104944
364 74 4 0.241 -9.367362 0.136043 -0.932133
365 74 5 -0.241 -8.694392 1.589913 -1.316402
366 74 5 -0.241 -8.658919 1.044198 -0.649825
367 75 3 0.000 -3.764917 9.722416 8.175539
368 75 4 0.241 -3.545359 10.647343 8.305543
369 75 4 0.241 -3.167275 9.249857 8.758728
370 75 5 -0.241 -4.256344 9.906995 7.711640
371 75 5 -0.241 -4.041457 9.112722 7.969212
372 76 3 0.000 -0.074344 4.421494 9.291360
373 76 4 0.241 -0.959830 4.728574 9.085905
374 76 4 0.241 -0.132102 3.465640 9.231339
375 76 5 -0.241 0.133642 5.085238 9.374771
376 76 5 -0.241 0.604089 4.367439 9.457430
377 77 3 0.000 -4.129641 1.501613 -1.322874
378 77 4 0.241 -4.770178 1.546738 -2.035805
379 77 4 0.241 -4.652382 1.303497 -0.543074
380 77 5 -0.241 -3.616517 1.642623 -1.778497
381 77 5 -0.241 -3.549567 1.504376 -0.930090
382 78 3 0.000 2.649233 -8.058572 -0.046594
383 78 4 0.241 2.274145 -8.424130 -0.850504
384 78 4 0.241 2.248797 -8.570528 0.659203
385 78 5 -0.241 3.020837 -7.604644 -0.429519
386 78 5 -0.241 3.006430 -7.687851 0.428536
387 79 3 0.000 9.261728 -5.507799 7.801537
388 79 4 0.241 9.820575 -5.032675 7.183036
389 79 4 0.241 9.639672 -5.315979 8.662327
390 79 5 -0.241 8.872960 -5.740672 7.267307
391 79 5 -0.241 8.770142 -5.901690 8.108075
392 80 3 0.000 1.723979 -1.056186 -6.879055
393 80 4 0.241 1.045076 -0.916364 -7.542483
394 80 4 0.241 1.752901 -0.232254 -6.388244
395 80 5 -0.241 1.828242 -1.703442 -7.125957
396 80 5 -0.241 2.230540 -1.314622 -6.469936
397 81 3 0.000 5.046514 5.107236 -2.186015
398 81 4 0.241 5.396667 4.473528 -2.815620
399 81 4 0.241 4.886265 5.897835 -2.705503
400 81 5 -0.241 5.102328 4.628757 -1.677374
401 81 5 -0.241 4.812237 5.438274 -1.614788
402 82 3 0.000 -4.964182 9.879993 -3.933486
403 82 4 0.241 -5.674659 10.055209 -4.554064
404 82 4 0.241 -4.163405 9.968648 -4.454535
405 82 5 -0.241 -5.436079 9.780606 -3.425344
406 82 5 -0.241 -4.577144 9.731408 -3.368777
407 83 3 0.000 -9.301584 -5.030983 -6.995050
408 83 4 0.241 -9.655569 -5.617037 -7.667234
409 83 4 0.241 -8.391783 -4.882664 -7.261243
410 83 5 -0.241 -9.921892 -5.033995 -6.669502
411 83 5 -0.241 -9.203608 -4.616608 -6.438753
412 84 3 0.000 6.886857 -5.839404 -0.013027
413 84 4 0.241 6.417969 -5.198902 -0.552006
414 84 4 0.241 7.811583 -5.704675 -0.230570
415 84 5 -0.241 6.276632 -6.059937 0.251100
416 84 5 -0.241 7.068705 -6.347397 0.433790
417 85 3 0.000 -6.323196 -2.257431 9.015358
418 85 4 0.241 -7.196738 -2.624449 9.166419
419 85 4 0.241 -6.218550 -1.596628 9.703098
420 85 5 -0.241 -6.239890 -2.687559 8.468712
421 85 5 -0.241 -5.683929 -2.103389 8.773738
422 86 3 0.000 0.808773 4.430686 -3.936101
423 86 4 0.241 1.464446 5.030525 -3.574325
424 86 4 0.241 0.406594 4.022607 -3.166478
425 86 5 -0.241 0.990281 4.627011 -4.583622
426 86 5 -0.241 0.389042 4.054152 -4.351818
427 87 3 0.000 -6.130012 3.326052 6.852100
428 87 4 0.241 -5.783488 2.471995 7.118755
429 87 4 0.241 -6.929155 3.433529 7.372115
430 87 5 -0.241 -5.591763 3.403604 6.410461
431 87 5 -0.241 -6.242912 3.950100 6.554460
432 88 3 0.000 -6.050012 4.183342 5.855767
433 88 4 0.241 -5.539549 4.117851 5.045993
434 88 4 0.241 -5.393023 4.171927 6.554932
435 88 5 -0.241 -6.640212 4.204111 5.478931
436 88 5 -0.241 -6.556932 4.234845 6.336550
437 89 3 0.000 7.972186 2.351572 -6.165856
438 89 4 0.241 7.756497 2.936205 -6.895430
439 89 4 0.241 7.574822 2.768860 -5.398674
440 89 5 -0.241 8.311874 1.928348 -6.608874
441 89 5 -0.241 8.208618 1.833236 -5.758180
442 90 3 0.000 7.606151 4.103369 -0.551934
443 90 4 0.241 7.811860 3.484248 -1.255475
444 90 4 0.241 8.097984 3.778202 0.205009
445 90 5 -0.241 7.197081 4.463533 -0.992065
446 90 5 -0.241 7.359703 4.630604 -0.161987
447 91 3 0.000 1.165405 -3.233193 3.662298
448 91 4 0.241 1.719890 -2.881265 2.962805
449 91 4 0.241 1.420914 -2.737539 4.443091
450 91 5 -0.241 0.869770 -3.672297 3.203429
451 91 5 -0.241 0.699844 -3.590609 4.044762
452 92 3 0.000 -3.474975 -8.258125 0.548251
453 92 4 0.241 -2.643828 -8.474233 0.120362
454 92 4 0.241 -3.247731 -8.153725 1.474565
455 92 5 -0.241 -3.800671 -8.296717 -0.070784
456 92 5 -0.241 -4.143905 -8.114553 0.698889
457 93 3 0.000 3.765022 3.750860 0.324840
458 93 4 0.241 3.171065 4.304659 0.835837
459 93 4 0.241 4.242612 3.240901 0.982446
460 93 5 -0.241 3.515189 4.032558 -0.265923
461 93 5 -0.241 4.124212 3.427962 -0.182597
462 94 3 0.000 -6.904822 -9.894842 -6.822951
463 94 4 0.241 -6.691504 -9.748428 -7.746885
464 94 4 0.241 -7.650308 -10.498575 -6.841753
465 94 5 -0.241 -6.382296 -9.466782 -6.637200
466 94 5 -0.241 -6.927240 -9.893134 -6.122761
467 95 3 0.000 7.517914 6.073674 -0.572943
468 95 4 0.241 8.023190 6.421087 -1.310910
469 95 4 0.241 6.738869 5.685967 -0.977132
470 95 5 -0.241 8.011529 6.301512 -0.131122
471 95 5 -0.241 7.281574 5.883701 0.058584
472 96 3 0.000 -6.435183 2.389482 9.136422
473 96 4 0.241 -6.393185 2.510433 8.185526
474 96 4 0.241 -7.373620 2.345089 9.331256
475 96 5 -0.241 -5.735346 2.400495 9.166085
476 96 5 -0.241 -6.292585 2.306521 9.817271
477 97 3 0.000 7.490699 1.570634 -8.669796
478 97 4 0.241 7.614905 2.125582 -9.442584
479 97 4 0.241 7.655356 2.154453 -7.926399
480 97 5 -0.241 7.343474 1.027348 -9.086854
481 97 5 -0.241 7.366465 1.043758 -8.225117
482 98 3 0.000 -0.128777 -4.314103 -8.139623
483 98 4 0.241 0.188072 -4.064913 -9.010317
484 98 4 0.241 0.626274 -4.731963 -7.720234
485 98 5 -0.241 -0.756966 -4.045287 -8.294180
486 98 5 -0.241 -0.507910 -4.424410 -7.560950
487 99 3 0.000 -2.216319 -6.141416 6.446997
488 99 4 0.241 -2.413475 -6.772711 5.751877
489 99 4 0.241 -2.427272 -6.605902 7.259615
490 99 5 -0.241 -2.020638 -5.673937 5.963319
491 99 5 -0.241 -2.028479 -5.579129 6.820255
492 100 3 0.000 -5.394015 -1.936216 -7.230462
493 100 4 0.241 -5.244879 -1.021016 -6.983960
494 100 4 0.241 -4.770476 -2.432983 -6.696591
495 100 5 -0.241 -5.891892 -1.731577 -7.678807
496 100 5 -0.241 -5.622261 -2.534080 -7.515479
